"bathrooms","exterior","price","rooms","size","longitude","latitude"
2,TRUE,416000,2,96,-3.6977628,40.4400032
2,FALSE,360000,1,70,-3.7897653,40.4664384
4,FALSE,4900000,4,465,-3.6776354,40.4224145
2,FALSE,685000,2,110,-3.7827284,40.4666303
1,FALSE,120000,2,35,-3.7100412,40.411378
1,TRUE,75000,3,77,-3.7089078,40.3421277
4,FALSE,650000,4,225,-3.7776161,40.4680437
1,TRUE,230000,3,105,-3.7046744,40.4001107
3,TRUE,980000,3,220,-3.692503,40.4400095
1,TRUE,630000,1,295,-3.7137545,40.4428583
2,TRUE,379000,3,110,-3.7160055,40.4103552
1,TRUE,105000,2,55,-3.7021662,40.3851622
4,TRUE,564871,5,238,-3.6116494,40.4869744
1,FALSE,142000,0,35,-3.7000943,40.4074969
1,TRUE,95000,3,85,-3.6614552,40.4741534
1,TRUE,165000,2,48,-3.7004275,40.4095524
1,TRUE,136000,3,70,-3.6489964,40.4364015
4,FALSE,1200000,5,226,-3.7939935,40.4639951
3,FALSE,1250000,3,200,-3.7673851,40.466968
1,FALSE,81300,3,75,-3.7037074,40.3484577
1,TRUE,125000,2,60,-3.7051936,40.4013043
2,TRUE,391000,3,142,-3.6421366,40.5004449
2,FALSE,258000,3,115,-3.672131,40.4429332
2,TRUE,375000,3,139,-3.656345,40.4866617
2,TRUE,377000,3,137,-3.6421366,40.5004449
1,TRUE,155000,2,78,-3.7632672,40.3954859
4,TRUE,1800000,5,240,-3.686239,40.4310964
1,TRUE,71000,2,75,-3.7252496,40.3835205
1,TRUE,275000,3,90,-3.7064481,40.47817
1,FALSE,42000,1,33,-3.670233,40.386196
1,TRUE,95000,2,54,-3.6642818,40.3914031
1,TRUE,110000,3,64,-3.646738,40.4330317
9,FALSE,4200000,6,1486,-3.8177009,40.4741999
4,TRUE,1300000,3,182,-3.6870995,40.4444752
1,TRUE,96000,1,35,-3.7381986,40.389422
1,TRUE,64000,2,65,-3.6410916,40.4328284
1,TRUE,240000,0,40,-3.6605928,40.4554429
1,TRUE,795000,3,128,-3.6847588,40.4228646
2,TRUE,290000,3,100,-3.6999374,40.3900995
1,TRUE,175000,3,100,-3.6941057,40.3528802
1,TRUE,189000,1,60,-3.6721826,40.4291307
5,FALSE,1800000,6,475,-3.7760683,40.4604276
1,TRUE,145000,4,85,-3.7551588,40.405785
1,TRUE,230000,3,90,-3.7066136,40.4375519
2,TRUE,353000,3,128,-3.6421366,40.5004449
4,FALSE,735000,5,320,-3.7663555,40.4554744
1,TRUE,218000,1,64,-3.6903288,40.3970318
1,TRUE,2e+05,2,65,-3.6718571,40.4032246
4,TRUE,1100000,5,337,-3.673264,40.4800783
5,FALSE,1050000,5,480,-3.7721788,40.4573005
2,TRUE,480000,4,160,-3.6759496,40.435451
