Date,Open,High,Low,Close,Volume
3-Mar-15,58.36,58.63,58.01,58.26,4903877
2-Mar-15,57.55,58.66,57.55,58.38,6490791
27-Feb-15,58.68,58.70,57.74,57.91,6269539
26-Feb-15,58.23,58.86,58.21,58.54,5710837
25-Feb-15,58.54,58.60,57.97,58.35,7677679
24-Feb-15,58.07,58.54,57.87,58.40,5041831
23-Feb-15,57.84,58.60,57.74,58.07,8120259
20-Feb-15,57.67,58.05,57.25,58.02,7009697
19-Feb-15,56.97,57.70,56.43,57.65,7792235
18-Feb-15,56.39,56.99,56.31,56.90,5919456
17-Feb-15,56.17,56.46,55.81,56.42,7448365
13-Feb-15,55.02,56.60,55.00,56.47,10285359
12-Feb-15,55.64,55.65,54.69,54.74,8954466
11-Feb-15,55.42,55.45,54.65,55.14,6225366
10-Feb-15,54.44,55.56,53.88,55.27,10928457
9-Feb-15,54.01,54.83,54.01,54.33,4297064
6-Feb-15,54.20,54.90,54.06,54.50,7999432
5-Feb-15,53.85,54.51,53.71,54.29,6174963
4-Feb-15,54.09,54.38,53.51,53.71,6839873
3-Feb-15,53.91,54.50,53.89,54.25,7400601
2-Feb-15,53.11,53.91,52.54,53.71,7796712
30-Jan-15,53.85,54.06,52.96,53.00,10509343
29-Jan-15,53.75,54.06,53.34,53.96,6348775
28-Jan-15,55.05,55.28,53.79,53.84,8592907
27-Jan-15,55.52,55.76,54.67,54.69,9527389
26-Jan-15,56.37,56.93,55.83,56.06,10291011
23-Jan-15,56.99,57.28,56.32,56.76,13389664
22-Jan-15,55.18,57.23,54.99,57.14,29893308
21-Jan-15,53.41,53.98,53.15,53.38,15990768
20-Jan-15,53.90,54.07,52.92,53.68,8338938
16-Jan-15,52.93,53.95,52.76,53.66,9823604
15-Jan-15,54.17,54.31,52.95,53.02,11705090
14-Jan-15,54.37,54.73,53.52,54.03,10080944
13-Jan-15,55.82,56.40,54.92,55.13,6468381
12-Jan-15,55.66,55.85,54.97,55.20,4541996
9-Jan-15,56.32,56.43,55.50,55.63,7008771
8-Jan-15,55.31,56.42,55.30,56.41,10238405
7-Jan-15,55.18,55.48,54.44,54.92,9251549
6-Jan-15,55.80,55.80,54.69,55.02,9649307
5-Jan-15,55.85,56.24,55.30,55.74,7447007
2-Jan-15,56.38,56.84,55.73,56.21,5901204
31-Dec-14,57.06,57.25,56.08,56.12,5917734
30-Dec-14,56.86,57.49,56.84,57.22,4398456
29-Dec-14,57.14,57.44,56.82,57.03,3575355
26-Dec-14,57.34,57.34,56.94,57.04,2864865
24-Dec-14,57.43,57.46,57.09,57.10,1761434
23-Dec-14,57.73,57.74,57.21,57.22,5688101
22-Dec-14,57.47,57.94,57.06,57.33,13453337
19-Dec-14,57.50,57.69,56.96,57.14,15783975
18-Dec-14,57.01,57.53,56.88,57.53,9036555
17-Dec-14,55.96,56.47,55.67,56.40,10527694
16-Dec-14,55.38,56.77,55.15,55.94,15189677
15-Dec-14,55.86,56.70,55.25,55.44,7465489
12-Dec-14,56.17,56.78,55.76,55.77,9516022
11-Dec-14,55.41,57.63,55.31,56.78,23744264
10-Dec-14,55.02,55.59,54.90,55.27,16424616
9-Dec-14,54.59,55.51,54.56,55.40,11047920
8-Dec-14,55.35,55.64,54.76,55.15,13228519
5-Dec-14,54.89,54.89,54.51,54.81,5589603
4-Dec-14,54.63,54.75,54.45,54.67,5702524
3-Dec-14,55.03,55.03,54.50,54.81,5386547
2-Dec-14,54.86,55.40,54.54,55.02,5988304
1-Dec-14,54.76,55.12,54.42,54.87,6841985
28-Nov-14,54.90,55.20,54.58,54.88,2969639
26-Nov-14,54.56,54.68,54.30,54.57,3989747
25-Nov-14,54.23,54.69,54.23,54.40,6641428
24-Nov-14,54.68,54.70,54.23,54.39,6067132
21-Nov-14,54.75,54.85,54.23,54.42,8440095
20-Nov-14,54.51,54.72,54.32,54.54,5554176
19-Nov-14,55.33,55.33,54.26,54.94,6721477
18-Nov-14,54.81,55.66,54.70,55.38,6966172
17-Nov-14,54.37,55.10,54.37,54.82,7774997
